review,target
"Before I begin, let me get something off my chest: I'm a huge fan of John Eyres' first film PROJECT: SHADOWCHASER. The film, a B-grade cross of both THE TERMINATOR & DIE HARD, may not be the work of a cinematic genius, but is a hugely entertaining action film that became a cult hit (& spawned two sequels & a spin off).<br /><br />Judge and Jury begins with Joseph Meeker, a convicted killer who was sent to Death Row following his capture after the so-called ""Bloody Shootout"" (which seems like a poor name for a killing spree  Meeker kills three people while trying to rob a convenience store), being led to the electric chair. There is an amusing scene where Meeker talks to the priest about living for sex but meeting his one true love (who was killed during the shootout), expressing his revenge for the person who killed her  Michael Silvano, a washed-up football star who spends his days watching his son Alex practicing football with his high school team (and ends up harassing his son's coach). But once executed, Meeker returns as a revenant (or as Kelly Perine calls ""a hamburger without the fries""), whose sole aim is to get his revenge, which basically means making Silvano's life a misery.<br /><br />Let me point out the fact that Judge and Jury is not a true horror film. It is a supernatural action film, with Meeker chasing Silvano, using his ability to change form (which amounts to David Keith dressing up as everything from an Elvis impersonator, a French chef (with an accent as bad as his moustache), a drag queen, a clown & a stand-up comedian), a shotgun which fires explosive rounds & an invulnerability to death (although that doesn't stop Martin Kove from shooting Keith with a Desert Eagle), to pay Silvano back for killing Meeker's wife.<br /><br />Director John Eyres does not seem interested in characterisations, instead focusing solely on action scenes, which the film has plenty of. But that is the film's main flaw, since there's nothing to connect the action scenes together. The acting is surprisingly good, with Keith delivering the best performance, supported ably by Kove, as well as Paul Koslo, who plays the washed-up cop quite well. Kelly Perine is annoying as the cabbie who tries to help but makes the situation worse.",negative
"It's interesting how 90% of the high-vote reviews are all comprised of ""*random username*"" from ""United States"" (no state pride??) who all say more or less the exact same thing with the exact same grammatical style and all with the exact same complete lack of taste in movies. I would delve further into this suspicious trend, but alas, this is a review of the movie, and not the reviews themselves.<br /><br />Let me start by saying that I am both a Christian and a true avid movie fan. This means I have seen a great many movies, from good to bad, and can wholeheartedly claim that Facing The Giants is, in fact, NOT a good movie. It has good intentions, but fails to meet many (if any) basic standards that I associate with a quality filmgoing experience.<br /><br />The Acting: Mostly Terrible, Palatable At Best. Hearing that most were apparently volunteers does not at all surprise me.<br /><br />The Dialogue: Clumsy, cheesy, the script comes off as a long version of some cheesy skit you'd see performed in Sunday School or youth group function. The Rave Review Robots revel in the absence of ""meaningless words"", but the cold hard truth is that such words are a part of the real world, and the complete absence of it is palpable. Let's just say the mean ol' head coach of a team in a State Championship game would have a lot more to say than ""OH NO!"" when things are not going his way.<br /><br />The Plot: Mind-bogglingly predictable. It has been commented that this movie is ""not a Hollywood cliché"", and yet it's like it was pulled directly from Making An Underdog Sports Movie For Dummies (including the mandatory quasi-romantic subplot for the ladies) and just had a Christian-themed coat of paint slapped on it. I'm not lying or bragging when I say I had almost every major detail in both the plot and subplot pegged immediately upon their inception. Only someone who has never seen a decent sports movie in their whole life would be emotionally stirred by the story presented here.<br /><br />The Directing/Editing: It, too, was patterned almost exactly after the generic Underdog Sports Movie template. Still, acting aside, there weren't many noticeable goofs, so at least Facing The Giants was technically competent.<br /><br />The Message: Ask Jesus and He will grant all your wishes. Part of me hoped that this movie would end in the team's eventual defeat to really emphasize the whole ""If we lose, we praise You"" part, because in the Real World, you WILL fail at one point or another and it's good to be prepared for that. But in the world of Facing The Giants, if you fail, clearly someone either screwed up or is cheating. Another interesting question being, what if the Eagles came across another team that had gotten religion? Would they be caught in an endless loop of miraculous plays and last-minute saves, or would the universe simply have exploded? <br /><br />The Bottom Line: For the hardcore conservative Christian Parents crowd lamenting the evils of Hollywood, Facing The Giants will be another mediocre-at-best Christian film to hold up on a pedestal as the preferred model for modern film-making. For everyone else, the effects will range from boredom to a burning desire to be watching something else. And a warning: Any attempt to show this to non-Christians will lead not to conversion, but to derision. I give this two stars, one for the one scene that did not have me rolling my eyes, and another for basic technical proficiency on a low budget.",negative
"When thinking about Captivity many words come to mind. Among them are: uninteresting, unentertaining, unsuspensful, unsexy, unfathomable, and unwatchable.<br /><br />I used to hate those movies from the mid to late nineties that were basically ripoffs of Scream but these new Saw knockoffs are beginning to make those films look like classics. They still pander to the same demographic that those other movies were so successful at doing, but now they add a new level of degeneracy that make the twelve to fourteen year old girls they're aimed at feel like they're hardcore AND hip.<br /><br />This movie is a load of boring crap! What the hell has happened to Larry Cohen? His name hasn't been attached to anything good since 1993! Even so, I was still surprised to see that he had anything to do with something THIS bad! Was anyone surprised when the movie's love interest turned out to be one of the psychopaths? Did anyone not know it when they first saw him? Only someone who has never before in his or her life, ever seen another movie!",negative
"An annoying experience. Improvised dialogue, handheld cameras for no effect, directionless plot, contrived romance, ick! to the whole mess. Ron Silver was the only real actor. Gretta Sacchi was TERRIBLE! Henry Jaglom did better with Eating which suited his style much more.",negative
"My wife and I thought that with this cast and director, the movie would have to be at least worth watching. We were wrong. In fact, we gave up on it after 45 minutes. The idea that Crawford, Young and Tone are British but speak with American accents was, for me, impossible to get past -- hard to believe this is England when no one talks with a British accent. There is zero chemistry between Crawford and anyone, and to echo a previous comment, the idea that Cooper and Crawford suddenly declare their love for one another without any reason is ludicrous. There is no reason to care about any of the characters, which is why we threw in the towel halfway through. I found it hard to believe that Hawks directed this, as none of the actors spoke with the trademark Hawksian rat-a-tat delivery. So save your time, and skip this one.",negative
"Tressa's vocal performance was Outstanding!! Tressa played the female singer role, while Richard was in the club. When she first step out on stage, and started to riff and strut her stuff, it made my soul shake. Her voice is platinum. She needs to make a CD. She has more fans then she realizes. I loved her show stopping performance in the five heart beats, which she also starred with Leon when she was younger. How can a little girl have a voice so big. She is truly amazing.Good voice Good Good Good Good voice voice voice voice excellent voice fantastic voice , back shaking , tear crying , uplifting, take you back in the days voice. Tressa if you read this commit, please take my advice and start recording a CD. If not just for the love of singing, but for your fans. I believe you can truly make it. Look at these other one hit single studio singers, lol.",positive
"I'd liked the Takashi Miike films I'd seen so far, but I found this pretty disappointing. I'd bought it, but I won't be keeping it.<br /><br />I saw it on the Adness DVD, which has just two episodes. In the first, a killer abducts women, cuts the top of their skull off to expose the brain, plants them in the ground up to their chin, and plants a flower in the brain. You can tell that from the DVD box. In the movie, the top of the head is digitally blurred out by TV static. Had you not seen the DVD box, the viewer wouldn't know what people were looking at until later a young cop produced a small model of the body. Oddly, there is also a flash frame later on of the woman's head and it is not censored. Apart from this, I'm not really sure what was going on. Some women get phone calls, and a sketchy animated character cavorts around when that happens. An animated character also appears on TV screens sometimes. It's unclear if anybody sees it.<br /><br />In the second episode, pregnant women are being found cut open and their babies are missing. Again, a cop produces a model of what the corpses are like, which is helpful since again the actual body is censored. There is also a natural birth in the movie, but oddly even that baby and the umbilical cord are censored! According the the DVD box, uncensored versions were not kept when this was originally made. Perhaps even if they had, if they knew they were going to be censored, maybe they didn't bother actually showing anything...? Not sure.<br /><br />If I hear the later episodes are better, maybe I'll look for them. As it is, I won't bother.",negative
"Despite reading the ""initial comments"" from someone who curiously disliked the film -- (WHY IS THE ONLY NEGATIVE COMMENT VERY FIRST ON THE LIST?)it was very nice to note that virtually everyone else loved it! Obviously the Church wanted to stress certain points and portray the prophet Joseph Smith in a positive manner ~ thats the whole idea. And in fact, those points were extremely effective. We already know Joseph Smith was human... but despite that, AND all of the horrific negative attempts stirred on by the adversary, it showed just how he was able to complete a remarkable, God-given work. I'd recommend it to anyone!",positive
"This movie is not as horrible as most Sci-Fi Channel movies. I am used to seeing the gray CGI blobs and the amateurish special effects such as close-ups of fake blood that make it very obvious that the blood is strawberry syrup or some other syrup variation. However, I had thought that I had seen all the possible lows that the Sci-Fi Channel could hit. Then I saw this movie.<br /><br />Imagine a hand inside a rubberized sock that is glazed with syrup? Those are the main Alien Vampires in this movie. You can clearly see the fingers inside the rubbery sock puppets. A talking hand comes out of the guts of victims, and the Vampire who is on the Vampire Hunter's team can talk to these Rubber Sock puppets in Transylvanian. How did Alien Vampires learn Transylvanian? And isn't Transylvania in Romania? So shouldn't they be talking Romanian? Why would some little town have their own language? If you can suspend your gag reflex and get past the talking rubber socks with the fingers clearly moving inside the Aliens' heads; then you have to deal with the other alien vampires. There are the ""Leatherfaces"" who like to wear the faces of their victims. Then there are the just plain ugly ones that all seem to have a lot of facial scars. Then there are the annoying Valley Girls and their boyfriends who are human traitors and sneak into space colonies so that they can sabotage the Defense Systems so that these Space Vampires can attack.<br /><br />Finally, if you think all of the above is funny and worth a laugh, you have to deal with the third rate cast of Network TV rejects that make up this team of stereotypical angry heroes which are constantly fighting among themselves. Why does almost every Sci-Fi Channel movie have to use lead characters that are annoying, abrasive, crude, or just totally unsympathetic? I found myself hoping the talking rubber socks would win.",negative
"Okay, I'll say it. This movie made me laugh so hard that it hurt. This statement may offend some of you who may think that this movie is nothing more than a waste of film. But the thing that most people don't get is that this movie was intended to be bad and cheezy. I mean, did people actually think that a movie about a killer snowman was intended to be a masterpiece? Just look at the ""scary"" hologram on the jacket of the movie and you'll find your answer. Instead, like the original Jack Frost (which I thought was just as funny), this movie turned out to be a side-splitting journey into the depths of corny dialogue, bad one liners and horrible special effects. And it's all made to deliver laughter to us viewers. It certainly worked for me.<br /><br />For example: Anne Tiler (to her troubled husband): What makes you frown so heavily darling?<br /><br />If that chunk of dialogue doesn't make you laugh, then you have serious issues. Who in their right mind would utter those words in real life? Of course, no one because it was meant to sound ridiculous! Just take one viewing of this movie with an open mind and low expectations, and hopefully you'll see what's so damn funny about Jack Frost 2.",positive
