attack_type,type1,type2,target
Fire,Fire,,not_very_effective
Fire,Water,,neutral
Fire,-,Grass,neutral
Fire,Electric,,not_very_effective
Fire,Psychic,-,very_effective
Fire,,Ghost,very_effective
Fire,Fire,Water,not_very_effective
Fire,Fire,Grass,not_very_effective
Fire,Fire,Electric,barely_effective
Fire,Fire,Psychic,neutral
Fire,Fire,Ghost,neutral
Fire,Water,Grass,neutral
Fire,Water,Electric,not_very_effective
Fire,Water,Psychic,very_effective
Fire,Water,Ghost,very_effective
Fire,Grass,Electric,not_very_effective
Fire,Grass,Psychic,very_effective
Fire,Grass,Ghost,very_effective
Fire,Electric,Psychic,neutral
Fire,Electric,Ghost,neutral
Fire,Psychic,Ghost,super_effective
Water,-,Fire,very_effective
Water,Water,,not_very_effective
Water,Grass,,immune
Water,Electric,-,very_effective
Water,,Psychic,neutral
Water,Ghost,,not_very_effective
Water,Fire,Water,neutral
Water,Fire,Grass,immune
Water,Fire,Electric,super_effective
Water,Fire,Psychic,very_effective
Water,Fire,Ghost,neutral
Water,Water,Grass,immune
Water,Water,Electric,neutral
Water,Water,Psychic,not_very_effective
Water,Water,Ghost,barely_effective
Water,Grass,Electric,immune
Water,Grass,Psychic,immune
Water,Grass,Ghost,immune
Water,Electric,Psychic,very_effective
Water,Electric,Ghost,neutral
Water,Psychic,Ghost,not_very_effective
Grass,,Fire,neutral
Grass,Water,,neutral
Grass,,Grass,not_very_effective
Grass,Electric,,not_very_effective
Grass,Psychic,,neutral
Grass,,Ghost,neutral
Grass,Fire,Water,neutral
Grass,Fire,Grass,not_very_effective
Grass,Fire,Electric,not_very_effective
Grass,Fire,Psychic,neutral
Grass,Fire,Ghost,neutral
Grass,Water,Grass,not_very_effective
Grass,Water,Electric,not_very_effective
Grass,Water,Psychic,neutral
Grass,Water,Ghost,neutral
Grass,Grass,Electric,barely_effective
Grass,Grass,Psychic,not_very_effective
Grass,Grass,Ghost,not_very_effective
Grass,Electric,Psychic,not_very_effective
Grass,Electric,Ghost,not_very_effective
Grass,Psychic,Ghost,neutral
Electric,Fire,,very_effective
Electric,-,Water,neutral
Electric,Grass,-,not_very_effective
Electric,Electric,,immune
Electric,Psychic,,neutral
Electric,-,Ghost,immune
Electric,Fire,Water,very_effective
Electric,Fire,Grass,neutral
Electric,Fire,Electric,immune
Electric,Fire,Psychic,very_effective
Electric,Fire,Ghost,immune
Electric,Water,Grass,not_very_effective
Electric,Water,Electric,immune
Electric,Water,Psychic,neutral
Electric,Water,Ghost,immune
Electric,Grass,Electric,immune
Electric,Grass,Psychic,not_very_effective
Electric,Grass,Ghost,immune
Electric,Electric,Psychic,immune
Electric,Electric,Ghost,immune
Electric,Psychic,Ghost,immune
Psychic,-,Fire,neutral
Psychic,Water,,very_effective
Psychic,Grass,,very_effective
Psychic,Electric,,immune
Psychic,Psychic,,not_very_effective
Psychic,Ghost,,very_effective
Psychic,Fire,Water,very_effective
Psychic,Fire,Grass,very_effective
Psychic,Fire,Electric,immune
Psychic,Fire,Psychic,not_very_effective
Psychic,Fire,Ghost,very_effective
Psychic,Water,Grass,super_effective
Psychic,Water,Electric,immune
Psychic,Water,Psychic,neutral
Psychic,Water,Ghost,super_effective
Psychic,Grass,Electric,immune
Psychic,Grass,Psychic,neutral
Psychic,Grass,Ghost,super_effective
Psychic,Electric,Psychic,immune
Psychic,Electric,Ghost,immune
Psychic,Psychic,Ghost,neutral
Ghost,Fire,,neutral
Ghost,Water,,neutral
Ghost,Grass,-,neutral
Ghost,Electric,,neutral
Ghost,Psychic,,immune
Ghost,Ghost,,very_effective
Ghost,Fire,Water,neutral
Ghost,Fire,Grass,neutral
Ghost,Fire,Electric,neutral
Ghost,Fire,Psychic,immune
Ghost,Fire,Ghost,very_effective
Ghost,Water,Grass,neutral
Ghost,Water,Electric,neutral
Ghost,Water,Psychic,immune
Ghost,Water,Ghost,very_effective
Ghost,Grass,Electric,neutral
Ghost,Grass,Psychic,immune
Ghost,Grass,Ghost,very_effective
Ghost,Electric,Psychic,immune
Ghost,Electric,Ghost,very_effective
Ghost,Psychic,Ghost,immune
