attack_type,type1,type2,target
Fire,Fire,,
Fire,Water,,
Fire,-,Grass,
Fire,Electric,,
Fire,Psychic,-,
Fire,,Ghost,
Fire,Fire,Water,
Fire,Fire,Grass,
Fire,Fire,Electric,
Fire,Fire,Psychic,
Fire,Fire,Ghost,
Fire,Water,Grass,
Fire,Water,Electric,
Fire,Water,Psychic,
Fire,Water,Ghost,
Fire,Grass,Electric,
Fire,Grass,Psychic,
Fire,Grass,Ghost,
Fire,Electric,Psychic,
Fire,Electric,Ghost,
Fire,Psychic,Ghost,
Water,-,Fire,
Water,Water,,
Water,Grass,,
Water,Electric,-,
Water,,Psychic,
Water,Ghost,,
Water,Fire,Water,
Water,Fire,Grass,
Water,Fire,Electric,
Water,Fire,Psychic,
Water,Fire,Ghost,
Water,Water,Grass,
Water,Water,Electric,
Water,Water,Psychic,
Water,Water,Ghost,
Water,Grass,Electric,
Water,Grass,Psychic,
Water,Grass,Ghost,
Water,Electric,Psychic,
Water,Electric,Ghost,
Water,Psychic,Ghost,
Grass,,Fire,
Grass,Water,,
Grass,,Grass,
Grass,Electric,,
Grass,Psychic,,
Grass,,Ghost,
Grass,Fire,Water,
Grass,Fire,Grass,
Grass,Fire,Electric,
Grass,Fire,Psychic,
Grass,Fire,Ghost,
Grass,Water,Grass,
Grass,Water,Electric,
Grass,Water,Psychic,
Grass,Water,Ghost,
Grass,Grass,Electric,
Grass,Grass,Psychic,
Grass,Grass,Ghost,
Grass,Electric,Psychic,
Grass,Electric,Ghost,
Grass,Psychic,Ghost,
Electric,Fire,,
Electric,-,Water,
Electric,Grass,-,
Electric,Electric,,
Electric,Psychic,,
Electric,-,Ghost,
Electric,Fire,Water,
Electric,Fire,Grass,
Electric,Fire,Electric,
Electric,Fire,Psychic,
Electric,Fire,Ghost,
Electric,Water,Grass,
Electric,Water,Electric,
Electric,Water,Psychic,
Electric,Water,Ghost,
Electric,Grass,Electric,
Electric,Grass,Psychic,
Electric,Grass,Ghost,
Electric,Electric,Psychic,
Electric,Electric,Ghost,
Electric,Psychic,Ghost,
Psychic,-,Fire,
Psychic,Water,,
Psychic,Grass,,
Psychic,Electric,,
Psychic,Psychic,,
Psychic,Ghost,,
Psychic,Fire,Water,
Psychic,Fire,Grass,
Psychic,Fire,Electric,
Psychic,Fire,Psychic,
Psychic,Fire,Ghost,
Psychic,Water,Grass,
Psychic,Water,Electric,
Psychic,Water,Psychic,
Psychic,Water,Ghost,
Psychic,Grass,Electric,
Psychic,Grass,Psychic,
Psychic,Grass,Ghost,
Psychic,Electric,Psychic,
Psychic,Electric,Ghost,
Psychic,Psychic,Ghost,
Ghost,Fire,,
Ghost,Water,,
Ghost,Grass,-,
Ghost,Electric,,
Ghost,Psychic,,
Ghost,Ghost,,
Ghost,Fire,Water,
Ghost,Fire,Grass,
Ghost,Fire,Electric,
Ghost,Fire,Psychic,
Ghost,Fire,Ghost,
Ghost,Water,Grass,
Ghost,Water,Electric,
Ghost,Water,Psychic,
Ghost,Water,Ghost,
Ghost,Grass,Electric,
Ghost,Grass,Psychic,
Ghost,Grass,Ghost,
Ghost,Electric,Psychic,
Ghost,Electric,Ghost,
Ghost,Psychic,Ghost,
