student_id,section,hw1,hw2,hw3,hw4,quiz1,quiz2,quiz3,quiz4,quiz5,midterm,final
10001,1,86.75,97.84,83.05,93.66,92.17,97.88,70.49,92.93,100,94.56,
10002,1,90.59,80.18,85.69,83.49,100,87.87,95.56,100,92.35,71.46,
10003,1,,100,,100,87.47,46.99,60.3,93.27,85.3,92.93,54.18
10004,1,64.55,75.36,78.45,86.26,81.56,93.44,95.03,60.67,100,52.84,54.15
10005,1,86.27,93.02,71.38,86.37,76.86,81.23,79.76,77.56,98.03,68.56,88.78
10006,1,76.01,93.99,98.24,95.34,98.2,85.17,66.9,91.64,100,86.5,88.35
10007,1,81.35,,86.81,88.15,96.26,86.3,99.75,95.28,93.15,57.36,57.97
10008,1,80.95,78.46,,85.6,,89.49,90.14,81.6,,83.74,86.5
10009,1,78.01,96.88,75.45,90.18,84.97,81.21,92.62,86.95,54.26,62.61,91.51
10010,1,87.04,94.74,88.15,98.4,68.84,67.43,84.97,56.62,75.46,79.28,68.21
10011,1,91.76,92.01,75.89,97.68,100,100,77.27,99.99,100,55.24,93.05
10012,1,93.25,80.87,86.26,98.23,100,99.13,76.26,93.42,61.85,,99.93
10013,1,91.74,86.47,89.36,91.91,86.75,,93.75,95.6,64.38,76.14,61.63
10014,1,100,83.1,90.27,100,79.53,,99.76,77.75,100,62.71,45.96
10015,1,93.42,95.07,93.15,95.01,95.3,100,85.35,96.99,69.11,88.5,71.54
10016,1,93.06,99.07,86.65,100,90.67,86.12,100,86.15,68.3,75.36,60.05
10017,1,92.4,87.83,88.33,91.09,,100,98.61,73.91,76.08,87.09,85.13
10018,1,79.0,83.94,87.16,100,59.0,58.73,78.36,66.04,100,78.61,75.21
10019,1,71.8,88.48,90.17,92.88,82.64,88.75,88.85,73.2,92.52,75.73,79.18
10020,1,77.34,76.78,79.27,85.64,96.3,100,99.26,89.95,68.86,86.06,86.83
10021,1,86.53,89.17,69.1,96.89,,,100,92.45,100,78.72,
10022,1,71.9,97.48,,90.49,64.07,91.78,,94.47,100,82.22,59.49
10023,1,92.03,90.26,64.69,88.7,85.47,85.12,84.3,86.07,94.08,94.0,69.18
10024,1,94.53,,95.48,95.98,81.74,83.66,,93.19,74.06,60.56,57.03
10025,1,,,95.58,84.39,90.38,83.49,88.35,76.7,63.84,92.03,100
10026,1,90.52,92.33,71.44,98.66,77.54,83.77,89.28,69.1,100,81.77,82.58
